time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-06 00:00:00+00:00,3,3,45.0,1.0
2021-09-07 00:00:00+00:00,7,6,32.0,1.0
2021-09-08 00:00:00+00:00,5,5,1.0,1.0
2021-09-09 00:00:00+00:00,2,2,20.0,1.0
2021-09-10 00:00:00+00:00,6,6,54.0,1.0
2021-09-11 00:00:00+00:00,2,2,2.0,1.0
2021-09-12 00:00:00+00:00,1,1,,
2021-09-13 00:00:00+00:00,2,2,5.0,1.0
2021-09-14 00:00:00+00:00,1,1,4.0,1.0
2021-09-15 00:00:00+00:00,1,1,,
2021-09-16 00:00:00+00:00,4,4,,
2021-09-17 00:00:00+00:00,4,4,,
2021-09-18 00:00:00+00:00,5,5,,
